cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
スイーツキャニオン,mirror,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@10401557ms.png,28176,57168,45837,21048,55580,25889,20635,21960,7498,20245,34945,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@1060380ms.png,26590,10294,43141,37882,33861,1936,20469,26045,20086,30296,47502,36602
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@10820872ms.png,28186,57154,21040,55615,25911,20613,21967,7502,60651,17383,0,0
GBAマリオサーキット,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@11063241ms.png,28200,55612,25907,20627,21991,7503,60618,17375,26372,21711,0,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@1289701ms.png,26579,10292,43113,37904,33881,1934,20477,26059,20085,30312,47501,23959
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@1500385ms.png,26568,10285,43132,37920,33880,1932,20495,26078,20098,30304,47490,23944
SFCレインボーロード,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@1713425ms.png,26567,10275,43145,37927,33903,1936,20488,26072,20106,30309,47498,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@1921295ms.png,26566,10266,43164,37933,33901,1941,20472,26066,20134,30295,47505,0
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@2130311ms.png,26555,43141,37945,33910,1939,20480,26094,20132,30300,23960,10331,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@2364798ms.png,26549,43122,37964,33910,20502,26116,20137,30308,23941,10328,23546,12629
SFCレインボーロード,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@2603177ms.png,26562,43129,37978,33907,20485,26104,20151,30331,23916,10336,23546,0
SFCレインボーロード,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@2836910ms.png,43146,37988,33890,20498,20169,30326,23901,10330,23551,12623,46221,0
リボンロード,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@3026658ms.png,43129,38009,33903,20513,20157,30330,23925,10325,23553,12627,21915,0
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@3211868ms.png,43146,37981,33910,20514,20153,30314,23933,10316,23556,12659,17097,0
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@3446826ms.png,15278,28287,25098,9555,9408,26527,9974,12182,34037,30454,12633,20496
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@3668319ms.png,15308,28266,25112,9561,9418,26531,9964,12190,34017,30427,20517,12650
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@3886876ms.png,15308,28263,25136,9582,9410,9958,12179,34030,30409,20525,12674,7828
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@4200411ms.png,25874,38826,13533,10585,24847,9402,23984,20520,20423,23442,16050,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@4412005ms.png,25891,38829,13538,24851,9400,23983,20539,20411,16082,20154,23431,31908
チョコマウンテン,mirror,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@4630704ms.png,25895,38841,13539,24865,9402,24009,20544,20387,16077,20169,23428,0
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@4847013ms.png,25904,38853,13545,24851,9412,20549,20367,16111,20180,23445,25347,0
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@501300ms.png,26593,10274,43113,37645,22168,32430,37850,33844,30150,0,1932,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@5054560ms.png,25915,38847,13530,24874,9414,20537,20361,16114,20189,23454,25364,8615
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@5266936ms.png,25889,38859,13519,24863,9419,20545,20364,16116,20218,23469,25371,8610
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@5487070ms.png,25867,13514,24857,9416,20548,20372,16149,20232,23489,25384,8605,7919
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@5697855ms.png,25839,13512,24869,9416,20520,20360,16175,20239,23498,25380,8617,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@5870494ms.png,25831,13544,24866,9412,20538,20367,16166,20212,23507,25366,8618,7982
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@6081705ms.png,13561,24858,9429,20531,20355,16148,20195,23525,25334,8632,8008,32030
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@6289438ms.png,13540,24870,9429,20517,20347,16163,20197,23528,25350,8629,8021,0
スイーツキャニオン,mirror,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@634496ms.png,26598,10290,43120,22196,37870,33852,1933,20443,26079,20719,20054,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@6478079ms.png,13528,24858,9425,20534,20349,16165,20209,23498,25333,8648,8054,32059
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@6656376ms.png,13560,24861,9436,20522,20342,16151,20227,23468,25330,8645,8084,32062
SFCレインボーロード,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@6963803ms.png,30968,30496,23063,44210,28678,22719,33831,23517,33475,27476,20578,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@7162094ms.png,30953,30511,23067,44194,28680,22753,33833,23536,33448,27460,20558,20549
キノピオハーバー,200cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@7345487ms.png,30973,30502,23091,44183,28687,22788,33812,33422,27463,20554,0,0
GBAマリオサーキット,mirror,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@7534935ms.png,30517,44177,28699,22787,33786,33444,27461,20584,20585,20192,16173,0
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@7760223ms.png,30497,28700,22804,33754,33464,27482,20578,20609,20206,16176,22512,32750
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@7931880ms.png,28211,57129,27619,2629,62829,45799,63653,7485,20996,55498,25869,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@8049647ms.png,28203,57129,27605,2626,45824,63645,7483,21019,55515,25868,20588,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@8256108ms.png,28192,57139,27585,2641,45842,63648,7478,21032,55535,25873,20577,0
チョコマウンテン,mirror,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@830857ms.png,26596,10297,43132,37890,33862,1938,20436,26056,20069,20728,30276,47532
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@8504824ms.png,28206,57159,27589,2673,45846,63637,21026,55545,25853,20566,43191,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@8704687ms.png,28182,57137,27592,2674,45870,63633,21023,55560,25851,20590,43200,0
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@8916246ms.png,28200,57152,27605,2682,45842,63627,21023,55552,25881,20580,43205,0
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@9136568ms.png,28186,57148,27605,2710,45860,63598,21023,55558,25857,20575,21969,0
マリオカートスタジアム,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@9337060ms.png,28192,57134,27622,2708,45859,63587,21016,55578,25880,20563,21986,7472
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@9549076ms.png,28175,57149,27639,2723,45882,63581,21009,55583,25874,20576,21968,7467
チョコマウンテン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@9761890ms.png,28182,57164,27666,2734,45867,63574,20992,55561,25872,20598,21946,7489
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】DLC第二弾発表！【シェリン_にじさんじ】@9960232ms.png,28185,57179,27644,2745,45880,21025,55553,25856,20616,21958,7495,20226
スイーツキャニオン,150cc,DLC1,data\images_person1\DLC1_manual\【マリカ8DX】レート戦【シェリン_にじさんじ】@1058925ms.png,31724,13473,20564,23320,24360,20512,36478,28156,31822,27358,9051,2795
