cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
キノコリッジウェイ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h05m20s.jpg,11754,9658,10862,13361,9045,9085,10428,9421,16466,13634,0,0
ヨッシーサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h08m48s.jpg,11739,9667,10862,13367,9037,10451,9421,12059,11041,14371,0,0
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h16m14s.jpg,11768,9671,10886,9010,10475,9472,12021,11010,14337,11338,14262,0
N64レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h20m16s.jpg,11763,9689,10871,9021,10498,9487,12021,11041,14322,11316,14230,10345
ロックロックマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h23m36s.jpg,11766,9673,10850,10513,12009,11066,14301,11314,14244,10355,15750,11375
キノピオハイウェイ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h27m32s.jpg,9674,10856,10543,14286,11314,14264,10371,15722,11348,16016,9286,0
モーモーカントリー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h31m18s.jpg,9678,10871,10563,14288,11289,14283,10362,15743,11340,16010,9278,9989
マリオカートスタジアム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h34m14s.jpg,9664,10852,10585,14267,11294,14287,10361,15759,11330,16030,9994,18358
N64レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h38m02s.jpg,9690,10874,10569,14298,10352,15782,11341,16019,10004,18358,10305,0
リンリンメトロ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h41m14s.jpg,9703,10901,10590,14279,10349,15803,11345,16024,9994,13965,10981,0
ヨッシーサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h47m54s.jpg,9681,10886,10605,14304,10355,15825,11372,16035,9994,13962,10960,18354
ネイチャーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h51m30s.jpg,9676,10617,14305,10337,15813,11388,16027,9992,13989,10942,18364,0
ココナッツモール,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h54m58s.jpg,9664,10618,14320,10335,15835,10006,13999,10930,18378,10045,0,0
チョコマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_00h58m44s.jpg,11509,17135,9974,12644,11092,0,0,0,0,0,0,0
ドラゴンロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h01m52s.jpg,15165,9937,18598,10621,13935,15857,17147,0,0,0,0,0
グラグラかざん,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h05m36s.jpg,15164,9936,18600,13929,10642,14344,8561,10151,9890,8405,0,0
スカイガーデン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h09m38s.jpg,15180,13941,10634,14367,8572,10164,9874,8412,3360,15429,0,0
GBAマリオサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h13m30s.jpg,15188,13946,10623,14389,10166,9882,3369,15443,10565,0,0,0
トーキョースクランブル,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h16m38s.jpg,15196,13949,10651,14385,10161,9872,3367,15458,10562,10918,9998,19760
アイスビルディング,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h19m42s.jpg,15204,13935,10681,14399,10169,9861,3372,15475,10574,10913,10002,13993
エキサイトバイク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h23m44s.jpg,15206,13960,10696,14398,10159,9846,3373,15462,10594,10903,10006,15931
リンリンメトロ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h26m16s.jpg,13985,10711,14392,10154,9859,3374,10006,15928,0,0,0,0
ベビィパーク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h29m50s.jpg,13965,10730,14398,3391,9991,15946,14600,10797,9250,9115,0,0
リンリンメトロ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h32m36s.jpg,13964,10748,14415,3401,9994,15966,14580,10779,9264,9102,10742,12849
ウォーターパーク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h36m20s.jpg,13968,10748,14413,3412,15987,14559,10799,9126,10723,12860,0,0
ドーナツへいや,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h39m58s.jpg,13963,10760,14431,3422,15967,14559,10776,9146,10707,12888,17157,0
ツルツルツイスター,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h43m34s.jpg,13955,10743,3427,14567,10754,9159,10701,12905,9554,7754,1024,0
リボンロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h47m22s.jpg,13950,10759,14587,10763,9150,10679,12906,9574,7756,1021,10384,0
